,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.06116539349795701,0.0,0.0,0.0,0.004618937644341801,0.0,0.012702078521939953,0.03039616272872624,0.0,0.0,0.003464203233256351,0.013856812933025405,0.05,0.006928406466512702,0.013856812933025405,0.012702078521939953,0.0,0.0,0.0,0.0,0.016166281755196306,0.058473974062888616,0.013856812933025405,0.013856812933025405,0.06501154734411085,0.0011547344110854503,0.019239651803162196,0.011547344110854504,0.012702078521939953,0.012702078521939953,0.016166281755196306,0.0,0.009237875288683603,0.013856812933025405,0.019230769230769232,0.0,0.010392609699769052,0.0,0.04923609877420501,0.0,0.015011547344110854,0.009237875288683603,0.013856812933025405,0.022703855036418547,0.01615739918280334,0.016166281755196306,0.0,0.006928406466512702,0.012702078521939953,0.012702078521939953,0.03000532954343578,0.016166281755196306,0.009237875288683603,0.013856812933025405,0.012702078521939953,0.016166281755196306,0.0,0.0,0.0023094688221709007,0.013856812933025405,0.009237875288683603,0.05,0.0638568129330254,0.0,0.0,0.038461538461538464,0.046153846153846156,0.0
bankssts-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalanteriorcingulate-lh,0.0,0.0,0.033707865168539325,0.028089887640449437,0.0,0.0,0.033707865168539325,0.0,0.0,0.0,0.028089887640449437,0.016853932584269662,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025280898876404494,0.0,0.0,0.0,0.02247191011235955,0.02247191011235955,0.0,0.02247191011235955,0.028089887640449437,0.0,0.0,0.0,0.0,0.0,0.02247191011235955,0.0,0.028089887640449437,0.033707865168539325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028089887640449437,0.0,0.03089887640449438,0.02247191011235955,0.0,0.0,0.0,0.0,0.0,0.0,0.033707865168539325,0.028089887640449437,0.0,0.0,0.0
caudalanteriorcingulate-rh,0.0,0.0,0.026905829596412557,0.02914798206278027,0.0,0.0,0.02466367713004484,0.0,0.0,0.0,0.02914798206278027,0.020179372197309416,0.0,0.0,0.01569506726457399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002242152466367713,0.0,0.0,0.026905829596412557,0.0,0.0,0.0,0.02466367713004484,0.02466367713004484,0.0,0.02466367713004484,0.02914798206278027,0.0,0.0,0.0,0.0,0.0,0.02466367713004484,0.0,0.02914798206278027,0.02466367713004484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02914798206278027,0.0,0.03139013452914798,0.02466367713004484,0.0,0.0,0.0,0.0,0.0,0.0,0.02914798206278027,0.02914798206278027,0.0,0.0,0.0
caudalmiddlefrontal-lh,0.019736842105263157,0.0,0.0,0.0,0.04276315789473684,0.0,0.006578947368421052,0.013157894736842105,0.0,0.0,0.0,0.009868421052631578,0.0,0.0,0.009868421052631578,0.006578947368421052,0.0,0.0,0.0,0.0,0.01644736842105263,0.019736842105263157,0.009868421052631578,0.009868421052631578,0.013157894736842105,0.0,0.003289473684210526,0.003289473684210526,0.006578947368421052,0.006578947368421052,0.02631578947368421,0.0,0.0,0.009868421052631578,0.0,0.0,0.046052631578947366,0.0,0.0,0.0,0.013157894736842105,0.03618421052631579,0.009868421052631578,0.013157894736842105,0.0,0.01644736842105263,0.0,0.0,0.006578947368421052,0.046052631578947366,0.0,0.01644736842105263,0.0,0.009868421052631578,0.006578947368421052,0.02631578947368421,0.0,0.0,0.0,0.009868421052631578,0.0,0.0,0.009868421052631578,0.0,0.0,0.0,0.0,0.0
caudalmiddlefrontal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuneus-lh,0.010044642857142858,0.0,0.03459119496855346,0.02830188679245283,0.0,0.0,0.04910012353998203,0.013392857142857142,0.0,0.0,0.03611438679245283,0.030232199011680144,0.0,0.008928571428571428,0.023942890835579517,0.013392857142857142,0.0,0.0,0.0,0.0,0.014508928571428572,0.013392857142857142,0.014508928571428572,0.013392857142857142,0.012276785714285714,0.03073758984725966,0.013392857142857142,0.015625,0.015625,0.03652150718778077,0.034289364330637916,0.0,0.034289364330637916,0.041694743935309975,0.0,0.0,0.005580357142857143,0.0,0.011160714285714286,0.0220125786163522,0.013392857142857142,0.03276617250673854,0.0479840521114106,0.014508928571428572,0.008928571428571428,0.013392857142857142,0.0,0.011160714285714286,0.014508928571428572,0.0078125,0.010044642857142858,0.012276785714285714,0.013392857142857142,0.0428108153638814,0.013392857142857142,0.04260725516621743,0.0220125786163522,0.0,0.002232142857142857,0.013392857142857142,0.010044642857142858,0.0,0.013392857142857142,0.03459119496855346,0.02830188679245283,0.0,0.0,0.0
cuneus-rh,0.04901239111765428,0.0,0.0,0.0,0.0020242914979757085,0.0,0.01417004048582996,0.044473070788860265,0.0,0.0,0.006072874493927126,0.015182186234817813,0.03787878787878788,0.008097165991902834,0.015182186234817813,0.013157894736842105,0.0,0.0,0.0,0.0,0.015182186234817813,0.05204882836461784,0.015182186234817813,0.01417004048582996,0.051036682615629984,0.004048582995951417,0.027297264139369403,0.013157894736842105,0.01417004048582996,0.01417004048582996,0.013157894736842105,0.0,0.011133603238866396,0.01417004048582996,0.03787878787878788,0.0,0.00708502024291498,0.0,0.046988099619678564,0.0,0.01417004048582996,0.006072874493927126,0.01417004048582996,0.030333701386332963,0.02981229297018771,0.01417004048582996,0.0,0.009109311740890687,0.01417004048582996,0.009109311740890687,0.046988099619678564,0.013157894736842105,0.011133603238866396,0.015182186234817813,0.013157894736842105,0.012145748987854251,0.0,0.0,0.0020242914979757085,0.01417004048582996,0.009109311740890687,0.03787878787878788,0.05204882836461784,0.0,0.0,0.03787878787878788,0.03787878787878788,0.0
entorhinal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09836065573770492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02459016393442623,0.0,0.0,0.10655737704918032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05737704918032787,0.0,0.0,0.0,0.0,0.10655737704918032,0.0,0.0,0.0,0.10655737704918032,0.0,0.0
entorhinal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-lh,0.002824858757062147,0.0,0.02531645569620253,0.029535864978902954,0.0,0.0,0.03733104484016306,0.011299435028248588,0.0,0.0,0.05213473503540013,0.035221340198812845,0.0,0.011299435028248588,0.03100193091611242,0.011299435028248588,0.0,0.0,0.0,0.0,0.014124293785310734,0.011299435028248588,0.018343703068011155,0.011299435028248588,0.00847457627118644,0.044375312879925626,0.011299435028248588,0.01694915254237288,0.01694915254237288,0.039440749481513264,0.033791031967388974,0.0,0.039440749481513264,0.038725595365801335,0.0,0.0,0.0,0.0,0.01977401129943503,0.02531645569620253,0.011299435028248588,0.029535864978902954,0.03450618608310091,0.014124293785310734,0.022598870056497175,0.011299435028248588,0.0,0.01977401129943503,0.014124293785310734,0.0,0.014124293785310734,0.00847457627118644,0.01977401129943503,0.04366015876421369,0.011299435028248588,0.03518558249302725,0.02531645569620253,0.0,0.0,0.011299435028248588,0.00847457627118644,0.0,0.011299435028248588,0.027426160337552744,0.029535864978902954,0.0,0.0,0.0
frontalpole-rh,0.010460251046025104,0.0,0.01762114537444934,0.024229074889867842,0.0010460251046025104,0.0,0.030062853667078317,0.013598326359832637,0.0,0.0,0.033753893793891585,0.04548135586972149,0.0,0.008368200836820083,0.041076069526109156,0.013598326359832637,0.0,0.0,0.0,0.0,0.014644351464435146,0.013598326359832637,0.027860210495272153,0.013598326359832637,0.012552301255230125,0.03386448675649273,0.012552301255230125,0.014644351464435146,0.015690376569037656,0.04327871269791532,0.045591948832322635,0.0,0.04454592372772013,0.03562475807789431,0.0,0.0,0.006276150627615063,0.0,0.010460251046025104,0.030837004405286344,0.013598326359832637,0.029459200412880394,0.02901682856247581,0.014644351464435146,0.008368200836820083,0.013598326359832637,0.0,0.010460251046025104,0.014644351464435146,0.008368200836820083,0.009414225941422594,0.012552301255230125,0.012552301255230125,0.03887342635430299,0.013598326359832637,0.03353270786868929,0.030837004405286344,0.0,0.0020920502092050207,0.013598326359832637,0.009414225941422594,0.0,0.013598326359832637,0.019823788546255508,0.03303964757709251,0.0,0.0,0.0
fusiform-lh,0.041379310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.013793103448275862,0.0,0.0,0.0,0.0,0.05862068965517241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03793103448275862,0.0,0.0,0.06206896551724138,0.0,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.03793103448275862,0.0,0.0,0.0,0.0,0.006896551724137931,0.010344827586206896,0.0,0.0,0.0,0.0,0.0,0.020689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.05862068965517241,0.0,0.0,0.034482758620689655,0.041379310344827586,0.0
fusiform-rh,0.007380073800738007,0.0,0.0,0.0,0.0,0.0,0.014760147601476014,0.012915129151291513,0.0,0.0,0.01107011070110701,0.014760147601476014,0.0,0.012915129151291513,0.014760147601476014,0.012915129151291513,0.0,0.0,0.0,0.0,0.014760147601476014,0.012915129151291513,0.014760147601476014,0.012915129151291513,0.01107011070110701,0.007380073800738007,0.012915129151291513,0.014760147601476014,0.014760147601476014,0.014760147601476014,0.01107011070110701,0.0,0.014760147601476014,0.012915129151291513,0.0,0.0,0.0,0.0,0.014760147601476014,0.0,0.012915129151291513,0.0,0.012915129151291513,0.014760147601476014,0.012915129151291513,0.012915129151291513,0.0,0.014760147601476014,0.014760147601476014,0.0036900369003690036,0.014760147601476014,0.01107011070110701,0.014760147601476014,0.014760147601476014,0.012915129151291513,0.00922509225092251,0.0,0.0,0.0,0.012915129151291513,0.01107011070110701,0.0,0.012915129151291513,0.0,0.0,0.0,0.0,0.0
inferiorparietal-lh,0.010460251046025104,0.0,0.014925373134328358,0.022388059701492536,0.0010460251046025104,0.0,0.02708216240970878,0.013598326359832637,0.0,0.0,0.03219779762276484,0.04947022211120132,0.0,0.008368200836820083,0.051957784300256035,0.013598326359832637,0.0,0.0,0.0,0.0,0.014644351464435146,0.013598326359832637,0.03703241116592768,0.013598326359832637,0.012552301255230125,0.03259330960261454,0.012552301255230125,0.014644351464435146,0.015690376569037656,0.04200753554403713,0.047378171901996294,0.0,0.04384458460833906,0.03349882387227045,0.0,0.0,0.006276150627615063,0.0,0.010460251046025104,0.029850746268656716,0.013598326359832637,0.027618185224505088,0.026036137305106268,0.014644351464435146,0.008368200836820083,0.013598326359832637,0.0,0.010460251046025104,0.014644351464435146,0.008368200836820083,0.009414225941422594,0.012552301255230125,0.012552301255230125,0.03703241116592768,0.013598326359832637,0.03140677366306543,0.029850746268656716,0.0,0.0020920502092050207,0.013598326359832637,0.009414225941422594,0.0,0.013598326359832637,0.017412935323383085,0.03482587064676617,0.0,0.0,0.0
inferiorparietal-rh,0.010227272727272727,0.0,0.0,0.0,0.0,0.0,0.014772727272727272,0.013636363636363636,0.0,0.0,0.006818181818181818,0.014772727272727272,0.0,0.00909090909090909,0.014772727272727272,0.013636363636363636,0.0,0.0,0.0,0.0,0.014772727272727272,0.013636363636363636,0.014772727272727272,0.013636363636363636,0.0125,0.004545454545454545,0.013636363636363636,0.014772727272727272,0.014772727272727272,0.014772727272727272,0.0125,0.0,0.0125,0.013636363636363636,0.0,0.0,0.005681818181818182,0.0,0.010227272727272727,0.0,0.013636363636363636,0.004545454545454545,0.013636363636363636,0.014772727272727272,0.007954545454545454,0.013636363636363636,0.0,0.010227272727272727,0.014772727272727272,0.007954545454545454,0.010227272727272727,0.0125,0.0125,0.014772727272727272,0.013636363636363636,0.011363636363636364,0.0,0.0,0.0022727272727272726,0.013636363636363636,0.010227272727272727,0.0,0.013636363636363636,0.0,0.0,0.0,0.0,0.0
inferiortemporal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
