,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.020761245674740483,0.02422145328719723,0.02422145328719723,0.0,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.01730103806228374,0.0,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.0,0.01730103806228374,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.0,0.0,0.0,0.02422145328719723,0.02422145328719723,0.0,0.02422145328719723,0.0,0.02422145328719723,0.0,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.0,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723,0.02422145328719723
S1_D3 hbo,0.010471204188481676,0.03315881326352531,0.013961605584642234,0.0,0.019197207678883072,0.019197207678883072,0.020942408376963352,0.012216404886561954,0.012216404886561954,0.03315881326352531,0.015706806282722512,0.02617801047120419,0.02617801047120419,0.031413612565445025,0.008726003490401396,0.0,0.017452006980802792,0.03315881326352531,0.02268760907504363,0.017452006980802792,0.013961605584642234,0.0,0.008726003490401396,0.034904013961605584,0.034904013961605584,0.03315881326352531,0.0,0.0,0.0,0.017452006980802792,0.015706806282722512,0.0,0.02268760907504363,0.0,0.020942408376963352,0.0,0.019197207678883072,0.034904013961605584,0.020942408376963352,0.02443280977312391,0.0,0.02617801047120419,0.02268760907504363,0.02443280977312391,0.02617801047120419,0.03315881326352531,0.034904013961605584,0.034904013961605584,0.020942408376963352,0.034904013961605584,0.034904013961605584,0.031413612565445025
S2_D1 hbo,0.01662049861495845,0.024930747922437674,0.0221606648199446,0.0,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.019390581717451522,0.019390581717451522,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.013850415512465374,0.0,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.0221606648199446,0.0,0.013850415512465374,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.0,0.0,0.0,0.024930747922437674,0.024930747922437674,0.0,0.024930747922437674,0.0,0.024930747922437674,0.0,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.0,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.024930747922437674,0.024930747922437674
S2_D2 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_D4 hbo,0.013303769401330377,0.026607538802660754,0.017738359201773836,0.0,0.024390243902439025,0.024390243902439025,0.026607538802660754,0.015521064301552107,0.015521064301552107,0.026607538802660754,0.019955654101995565,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.011086474501108648,0.0,0.022172949002217297,0.026607538802660754,0.026607538802660754,0.022172949002217297,0.017738359201773836,0.0,0.011086474501108648,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.0,0.0,0.0,0.022172949002217297,0.019955654101995565,0.0,0.026607538802660754,0.0,0.026607538802660754,0.0,0.024390243902439025,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.0,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754
S3_D1 hbo,0.013303769401330377,0.026607538802660754,0.017738359201773836,0.0,0.024390243902439025,0.024390243902439025,0.026607538802660754,0.015521064301552107,0.015521064301552107,0.026607538802660754,0.019955654101995565,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.011086474501108648,0.0,0.022172949002217297,0.026607538802660754,0.026607538802660754,0.022172949002217297,0.017738359201773836,0.0,0.011086474501108648,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.0,0.0,0.0,0.022172949002217297,0.019955654101995565,0.0,0.026607538802660754,0.0,0.026607538802660754,0.0,0.024390243902439025,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.0,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754,0.026607538802660754
S3_D3 hbo,0.012658227848101266,0.027426160337552744,0.016877637130801686,0.0,0.023206751054852322,0.023206751054852322,0.02531645569620253,0.014767932489451477,0.014767932489451477,0.027426160337552744,0.0189873417721519,0.027426160337552744,0.027426160337552744,0.027426160337552744,0.010548523206751054,0.0,0.02109704641350211,0.027426160337552744,0.027426160337552744,0.02109704641350211,0.016877637130801686,0.0,0.010548523206751054,0.027426160337552744,0.027426160337552744,0.027426160337552744,0.0,0.0,0.0,0.02109704641350211,0.0189873417721519,0.0,0.027426160337552744,0.0,0.02531645569620253,0.0,0.023206751054852322,0.027426160337552744,0.02531645569620253,0.027426160337552744,0.0,0.027426160337552744,0.027426160337552744,0.027426160337552744,0.027426160337552744,0.027426160337552744,0.027426160337552744,0.027426160337552744,0.02531645569620253,0.027426160337552744,0.027426160337552744,0.027426160337552744
S3_D4 hbo,0.018404907975460124,0.024539877300613498,0.024539877300613498,0.0,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.02147239263803681,0.02147239263803681,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.015337423312883436,0.0,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.0,0.015337423312883436,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.0,0.0,0.0,0.024539877300613498,0.024539877300613498,0.0,0.024539877300613498,0.0,0.024539877300613498,0.0,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.0,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498
S3_D5 hbo,0.018404907975460124,0.024539877300613498,0.024539877300613498,0.0,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.02147239263803681,0.02147239263803681,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.015337423312883436,0.0,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.0,0.015337423312883436,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.0,0.0,0.0,0.024539877300613498,0.024539877300613498,0.0,0.024539877300613498,0.0,0.024539877300613498,0.0,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.0,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498,0.024539877300613498
S4_D2 hbo,0.010471204188481676,0.03315881326352531,0.013961605584642234,0.0,0.019197207678883072,0.019197207678883072,0.020942408376963352,0.012216404886561954,0.012216404886561954,0.03315881326352531,0.015706806282722512,0.02617801047120419,0.02617801047120419,0.031413612565445025,0.008726003490401396,0.0,0.017452006980802792,0.03315881326352531,0.02268760907504363,0.017452006980802792,0.013961605584642234,0.0,0.008726003490401396,0.034904013961605584,0.034904013961605584,0.03315881326352531,0.0,0.0,0.0,0.017452006980802792,0.015706806282722512,0.0,0.02268760907504363,0.0,0.020942408376963352,0.0,0.019197207678883072,0.034904013961605584,0.020942408376963352,0.02443280977312391,0.0,0.02617801047120419,0.02268760907504363,0.02443280977312391,0.02617801047120419,0.03315881326352531,0.034904013961605584,0.034904013961605584,0.020942408376963352,0.034904013961605584,0.034904013961605584,0.031413612565445025
